,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
75,75,6.8,2.8,4.8,1.4,Iris-versicolor
76,76,6.6,3.0,4.4,1.4,Iris-versicolor
77,77,6.4,2.9,4.3,1.3,Iris-versicolor
78,78,6.1,2.8,4.7,1.2,Iris-versicolor
79,79,6.0,2.9,4.5,1.5,Iris-versicolor
80,80,6.3,2.5,4.9,1.5,Iris-versicolor
81,81,6.1,2.8,4.0,1.3,Iris-versicolor
82,82,5.9,3.2,4.8,1.8,Iris-versicolor
83,83,5.6,2.5,3.9,1.1,Iris-versicolor
84,84,6.6,2.9,4.6,1.3,Iris-versicolor
85,85,7.0,3.2,4.7,1.4,Iris-versicolor
86,86,5.2,2.7,3.9,1.4,Iris-versicolor
87,87,6.0,2.2,4.0,1.0,Iris-versicolor
88,88,5.9,3.0,4.2,1.5,Iris-versicolor
89,89,5.0,2.0,3.5,1.0,Iris-versicolor
91,91,6.3,2.3,4.4,1.3,Iris-versicolor
92,92,6.7,3.1,4.7,1.5,Iris-versicolor
93,93,6.0,3.4,4.5,1.6,Iris-versicolor
94,94,5.8,2.6,4.0,1.2,Iris-versicolor
95,95,5.5,2.5,4.0,1.3,Iris-versicolor
96,96,5.5,2.6,4.4,1.2,Iris-versicolor
97,97,5.0,2.3,3.3,1.0,Iris-versicolor
98,98,6.3,3.3,3.707228915662654,1.6,Iris-versicolor
99,99,5.7,3.0,4.2,1.2,Iris-versicolor
100,100,5.7,2.9,4.2,1.3,Iris-versicolor
101,101,6.1,3.0,4.6,1.4,Iris-versicolor
102,102,5.1,2.5,3.0,1.1,Iris-versicolor
103,103,6.2,2.9,4.3,1.3,Iris-versicolor
104,104,5.5,2.4,3.8,1.1,Iris-versicolor
105,105,5.4,3.0,4.5,1.5,Iris-versicolor
106,106,5.5,2.4,3.7,1.0,Iris-versicolor
107,107,5.6,2.7,4.2,1.3,Iris-versicolor
108,108,5.8,2.7,3.9,1.2,Iris-versicolor
109,109,5.8263473053892225,2.9,4.5,1.5,Iris-versicolor
110,110,6.0,2.7,5.1,1.6,Iris-versicolor
111,111,5.1,2.5,3.0,1.1,Iris-versicolor
112,112,5.7,2.8,4.1,1.3,Iris-versicolor
113,113,6.1,2.9,3.707228915662654,1.4,Iris-versicolor
114,114,7.3,2.9,6.3,1.8,Iris-virginica
115,115,6.4,3.2,5.3,2.3,Iris-virginica
116,116,6.1,2.6,5.6,1.4,Iris-virginica
118,118,6.3,2.8,5.1,1.5,Iris-virginica
119,119,7.6,3.0,6.6,2.1,Iris-virginica
120,120,7.1,3.0,5.9,2.1,Iris-virginica
121,121,6.3,2.9,5.6,1.8,Iris-virginica
122,122,6.5,3.0,5.8,2.2,Iris-virginica
123,123,7.7,3.8,6.7,2.2,Iris-virginica
124,124,5.8,2.7,5.1,1.9,Iris-virginica
125,125,6.4,2.8,5.6,2.2,Iris-virginica
126,126,6.9,3.2,5.7,2.3,Iris-virginica
127,127,7.4,2.8,6.1,1.9,Iris-virginica
128,128,7.2,3.0,5.8,1.6,Iris-virginica
129,129,6.4,2.8,5.6,2.1,Iris-virginica
130,130,6.1,3.0,4.9,1.8,Iris-virginica
131,131,6.5,3.0,5.5,1.8,Iris-virginica
132,132,6.2,2.8,4.8,1.8,Iris-virginica
133,133,6.3,2.7,4.9,1.8,Iris-virginica
134,134,7.7,2.8,6.7,2.0,Iris-virginica
135,135,5.6,2.8,4.9,2.0,Iris-virginica
136,136,5.8,2.8,5.1,2.4,Iris-virginica
137,137,6.0,2.2,5.0,1.5,Iris-virginica
138,138,7.7,2.6,6.9,2.3,Iris-virginica
139,139,7.9,3.8,6.4,2.0,Iris-virginica
140,140,6.7,2.5,5.8,1.8,Iris-virginica
141,141,6.2,3.4,5.4,2.3,Iris-virginica
142,142,6.5,3.2,5.1,2.0,Iris-virginica
143,143,6.7,3.3,5.7,2.1,Iris-virginica
145,145,6.3,3.4,5.6,2.4,Iris-virginica
146,146,6.4,3.1,5.5,1.8,Iris-virginica
147,147,6.0,3.0,4.8,1.8,Iris-virginica
148,148,6.7,3.1,5.6,2.4,Iris-virginica
149,149,6.9,3.1,5.1,2.3,Iris-virginica
150,150,5.8,2.7,5.1,1.9,Iris-virginica
151,151,6.8,3.2,5.9,2.3,Iris-virginica
152,152,6.7,3.3,5.7,2.5,Iris-virginica
153,153,6.3,2.5,5.0,1.9,Iris-virginica
154,154,6.3,2.7,4.9,1.8,Iris-virginica
155,155,6.5,3.0,5.2,2.0,Iris-virginica
156,156,6.2,3.4,5.4,2.3,Iris-virginica
157,157,5.9,3.0,5.1,1.8,Iris-virginica
158,158,6.4,2.8,5.6,2.2,Iris-virginica
159,159,7.7,3.8,6.7,2.2,Iris-virginica
160,160,5.8,2.8,5.1,1.1803571428571433,Iris-virginica
161,161,6.7,3.0,5.2,2.3,Iris-virginica
162,162,7.7,3.0,6.1,2.3,Iris-virginica
163,163,7.2,3.2,6.0,1.8,Iris-virginica
164,164,6.3,2.8,5.1,1.5,Iris-virginica
165,165,5.7,2.5,5.0,2.0,Iris-virginica
166,166,6.8,3.0,5.5,2.1,Iris-virginica
167,167,6.4,2.7,5.3,1.9,Iris-virginica
168,168,7.2,3.6,6.1,2.5,Iris-virginica
169,169,6.3,3.3,6.0,2.5,Iris-virginica
